"point_id","time","lon","lat","ele","X","Y"
0,"2023/09/26 10:59:54+00",7.28178064338863,51.4307598117739,74.8,810604.11,6697846.79
1,"2023/09/26 10:59:59+00",7.28187292814255,51.4308216702193,74.6,810614.39,6697857.83
2,"2023/09/26 11:00:01+00",7.28190427646041,51.4308396074921,74.6,810617.88,6697861.04
3,"2023/09/26 11:00:07+00",7.28198340162635,51.4309024717659,74.6,810626.68,6697872.26
4,"2023/09/26 11:00:14+00",7.28209471330047,51.430966258049,74.4,810639.08,6697883.65
5,"2023/09/26 11:00:16+00",7.28212924674153,51.4309909008443,74.4,810642.92,6697888.05
6,"2023/09/26 11:00:21+00",7.28220803663135,51.4310550224036,74.8,810651.69,6697899.5
7,"2023/09/26 11:00:25+00",7.28228925727308,51.4311127737164,74.8,810660.73,6697909.81
8,"2023/09/26 11:00:27+00",7.2823157440871,51.4311414398253,74.6,810663.68,6697914.93
9,"2023/09/26 11:00:30+00",7.28234499692917,51.4311692677438,74.6,810666.94,6697919.9
10,"2023/09/26 11:00:34+00",7.28241096250713,51.4312246721238,74.6,810674.28,6697929.79
11,"2023/09/26 11:00:39+00",7.28247541934252,51.4312711916864,74.4,810681.46,6697938.1
12,"2023/09/26 11:00:45+00",7.28253945708275,51.4313324633986,74,810688.58,6697949.04
13,"2023/09/26 11:00:51+00",7.28262721560895,51.4314139354974,73.8,810698.35,6697963.58
14,"2023/09/26 11:00:52+00",7.28264431469142,51.4314278494567,73.8,810700.26,6697966.07
15,"2023/09/26 11:00:59+00",7.28273089975119,51.4315029513091,73.8,810709.9,6697979.48
16,"2023/09/26 11:01:04+00",7.28279527276754,51.4315460342914,73.8,810717.06,6697987.17
17,"2023/09/26 11:01:05+00",7.28280013427138,51.4315576013178,74,810717.6,6697989.23
18,"2023/09/26 11:01:10+00",7.28287431411445,51.4316204655915,74,810725.86,6698000.46
19,"2023/09/26 11:01:15+00",7.28294958360493,51.431658603251,74,810734.24,6698007.27
20,"2023/09/26 11:01:16+00",7.28296416811645,51.431666649878,74,810735.86,6698008.71
21,"2023/09/26 11:01:21+00",7.28304136544466,51.4317102357745,73.8,810744.46,6698016.49
22,"2023/09/26 11:01:23+00",7.28305611759424,51.4317202102393,73.8,810746.1,6698018.27
23,"2023/09/26 11:01:25+00",7.28307338431478,51.4317133370787,73.8,810748.02,6698017.04
24,"2023/09/26 11:01:26+00",7.28306835517287,51.4317163545638,73.8,810747.46,6698017.58
25,"2023/09/26 11:01:29+00",7.2830081731081,51.4317316096276,73.6,810740.76,6698020.3
26,"2023/09/26 11:01:36+00",7.28284833021462,51.4317796379328,72.6,810722.97,6698028.88
27,"2023/09/26 11:01:38+00",7.282804409042,51.4317903667688,72.2,810718.08,6698030.8
28,"2023/09/26 11:01:42+00",7.28269284591079,51.431833114475,71.6,810705.66,6698038.43
29,"2023/09/26 11:01:43+00",7.28267138823867,51.4318413287401,71.2,810703.27,6698039.9
30,"2023/09/26 11:01:49+00",7.28254549205303,51.4319062884897,71.4,810689.26,6698051.49
31,"2023/09/26 11:01:54+00",7.28244289755821,51.4319407381117,71.8,810677.84,6698057.65
32,"2023/09/26 11:02:01+00",7.28231348097324,51.431991532445,71.8,810663.43,6698066.72
33,"2023/09/26 11:02:04+00",7.28225581347942,51.4320044405758,72,810657.01,6698069.02
34,"2023/09/26 11:02:06+00",7.28220325894654,51.4320176001638,72.2,810651.16,6698071.37
35,"2023/09/26 11:02:08+00",7.28216252289712,51.4320274069905,72.2,810646.62,6698073.12
36,"2023/09/26 11:02:16+00",7.28199228644371,51.432047272101,72.4,810627.67,6698076.67
37,"2023/09/26 11:02:24+00",7.28179338388145,51.4320783689618,72,810605.53,6698082.22
38,"2023/09/26 11:02:30+00",7.28168936446309,51.4321122318506,72.2,810593.95,6698088.27
39,"2023/09/26 11:02:35+00",7.28160177357495,51.4321230445057,72.2,810584.2,6698090.2
40,"2023/09/26 11:02:43+00",7.2814055532217,51.4321814663708,72.6,810562.36,6698100.63
41,"2023/09/26 11:02:44+00",7.2813817486167,51.4321887586266,72.6,810559.71,6698101.93
42,"2023/09/26 11:02:46+00",7.28134294040501,51.432208288461,72.6,810555.39,6698105.42
43,"2023/09/26 11:02:51+00",7.28122835978866,51.4322362840176,72.6,810542.63,6698110.42
